,Phone number,Address,,,,,,,,,,,
Patient 1,2368687345,3293 W 24th Ave,,,,,,,,,,,
Patient 2,4968491888,4888 Pender St,,,,,,,,,,,
Patient 3,3693677566,3023 Acadia Rd,,,,,,,,,,,
,5735520869,3933 W Broadway St,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,age_years,gender,body_mass_index,blood_pressure,cholesterol_ldl,cholesterol_hdl,cholesterol_vldl,serum_triglycerides,serum_glucose,serum_insulin,target,at_risk,
,0,0.038076,0.05068,0.061696,0.021872,-0.044223,-0.034821,-0.043401,-0.002592,0.019907,-0.017646,151,1
,1,-0.001882,-0.044642,-0.051474,-0.026328,-0.008449,-0.019163,0.074412,-0.039493,-0.068332,-0.092204,75,0
,2,0.085299,0.05068,0.044451,-0.00567,-0.045599,-0.034194,-0.032356,-0.002592,0.002861,-0.02593,141,1
,3,-0.089063,-0.044642,-0.011595,-0.036656,0.012191,0.024991,-0.036038,0.034309,0.022688,-0.009362,206,1
,4,0.005383,-0.044642,-0.036385,0.021872,0.003935,0.015596,0.008142,-0.002592,-0.031988,-0.046641,135,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Here's some patient information:,,,,,,,,,,,,
,,,,,,,,,,,,,
,Patient #1 SSN: 551-32-3132 Blood Pressure: 112/78,,,,,,,,,,,,
,Patient #2 SSN: 149-07-1154 Blood Pressure: 127/85,,,,,,,,,,,,
,Patient #3 SSN: 203-78-4612 Blood Pressure: 145/96,,,,,,,,,,,,
,Patient #4 SSN: 780-02-4428 Blood Pressure: 130/80,,,,,,,,,,,,
,Patient #5 SSN: 445-58-6682 Blood Pressure: 142/103,,,,,,,,,,,,
,Patient #6 SSN: 302-11-8868 Blood Pressure: 120/72,,,,,,,,,,,,
,Patient #7 SSN: 661-23-1131 Blood Pressure: 90/60,,,,,,,,,,,,
,Patient #8 SSN: 740-06-1874 Blood Pressure: 132/88,,,,,,,,,,,,
,Patient #9 SSN: 510-10-5511 Blood Pressure: 125/76,,,,,,,,,,,,
,Patient #10 SSN: 225-33-4485 Blood Pressure: 118/73,,,,,,,,,,,,
,Patient #11 SSN: 628-08-1158 Blood Pressure: 133/88,,,,,,,,,,,,
,Patient #12 SSN: 703-44-3316 Blood Pressure: 150/96,,,,,,,,,,,,
,,,,,,,,,,,,,
API Keys,OPENAI ,,,,,,,,,,,,
,sk-bBP_fhSH9cT_G5q-CtWtYqzIkuNS3A66c2jEasj0rRT3BlbkFJX1loYRP9p5kVwjpwbN65_LGV_9sUtM3wSOMFOmN-4A,,,,,,,,,,,,
Access tokens,Azure ,,,,,,,,,,,,
, DI58guYU2b94Fk7EKmVyv5p4TqLhShTAnF0Z86kYq3mfU73D5e5EJQQJ99BFACAAAAAVoVSmAAASAZDOmPtR,,,,,,,,,,,,
